;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
30-May-17 18:03:54;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext.: (EUR)
43;667-EVQ-Q2K01W;EVQ-Q2K01W;Panasonic;DIY TIDES;Tactile Switches Switch Light Touch 6mm Square SMD;RoHS Compliant;;10;0,256 €;2,56 €
44;926-LME49720MAX/NOPB;LME49720MAX/NOPB;Texas Instruments;;Audio Amplifiers LME49720MA;RoHS Compliant;;4;2,75 €;11,00 €
45;595-LM4040C25IDBZR;LM4040C25IDBZR;Texas Instruments;;Voltage References 2.5-V Precision Mcrpwr Shunt .5% acc;RoHS Compliant;;3;0,783 €;2,35 €
46;511-ST-LINK/V2;ST-LINK/V2;STMicroelectronics;;Programmers - Processor Based STM8S STM32 Programr 5V USB 2.0 JTAG DFU;RoHS Compliant;;1;20,84 €;20,84 €
47;649-221111-00010T4LF;20021111-00010T4LF;FCI / Amphenol;;Headers & Wire Housings 1.27x1.27mm BTB, Hdr Unshrd,Vert,T/H, 10P;RoHS Compliant;;5;0,604 €;3,02 €
;;;;;;;;;;
;;;;;;;;;;
"By submitting your order you agree

to these terms and conditions.";;;;;;;;;Merchandise Total:;126,93 €
Prices are reflected at the date and time shown.;;;;;;;;;Delivery Charge:;0,00 €
;;;;;;;;;Back-order Delivery:;0,00 €
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
