;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
helmi 18, 2017 11:58:47;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext: (EUR)
48;926-LM13700M/NOPB;LM13700M/NOPB;Texas Instruments;;Transconductance Amplifiers DUAL OP TRANSCOND;RoHS Compliant;;2;1,20 €;2,40 €
49;512-1N4148WS;1N4148WS;Fairchild Semiconductor;;Diodes - General Purpose, Power, Switching Small Signal Diode;RoHS Compliant;;10;0,125 €;1,25 €
50;576-1206L035/16YR;1206L035/16YR;Littelfuse;;Resettable Fuses - PPTC PTC 16V 1206 .350A POLY SURF MOUNT;RoHS Compliant;;10;0,358 €;3,58 €
51;647-UWP1C4R7MCL;UWP1C4R7MCL1GB;Nichicon;;Aluminium Electrolytic Capacitors - SMD 16volts 4.7uF 20%;RoHS Compliant;;10;0,209 €;2,09 €
52;81-GRM188R71C224KA1J;GRM188R71C224KA01J;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.22uF 16Volts X7R 0.1;RoHS Compliant;;10;0,06 €;0,60 €
53;81-GRM185C1E561JA01D;GRM1885C1E561JA01D;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 560pF 25volts C0G 5%;RoHS Compliant;;10;0,047 €;0,47 €
54;81-GRM185C1H470GA01J;GRM1885C1H470GA01J;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 47pF 50volts C0G 2%;RoHS Compliant;;10;0,049 €;0,49 €
55;667-ERJ-3EKF3003V;ERJ-3EKF3003V;Panasonic;;Thick Film Resistors - SMD 0603 300Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
56;667-ERJ-P03F6202V;ERJ-P03F6202V;Panasonic;;Thick Film Resistors - SMD 0603 62Kohms 0.2W 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,218 €;2,18 €
57;667-ERJ-P03F4702V;ERJ-P03F4702V;Panasonic;;Thick Film Resistors - SMD 0603 47Kohms 0.2W 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,158 €;1,58 €
58;667-ERJ-3EKF3902V;ERJ-3EKF3902V;Panasonic;;Thick Film Resistors - SMD 0603 39Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;10;0,013 €;0,13 €
